
4022235.11,713002.63,"16=WB-200",4,21,,,
4022239.67,713002.79,"16-WB-201",16,22,,,
4022239.67,713002.79,"16-WB-202",7,21,,,
4022247.48,712995.41,"16-WB-203",7,24,,,
4022202.13,712947.92,"16-WB-204",11,21,,,
4022249.42,712997.52,"16-WB-214A",7,21,,,
4022249.42,712997.52,"16-WB-214B",7,28,,,
4022249.42,712997.52,"16-WB-214C",7,31,1,,
4022249.42,712997.52,"16-WB-215A",13,31,1,,
4022249.42,712997.52,"16-WB-215B",13,31,1,,
4022249.42,712997.52,"16-WB-215C",13,21,,,
4022249.42,712997.52,"16-WB-215D",13,24,,,
4022220.53,712974.06,"16-WB-217A",7,31,1,,
4022220.53,712974.06,"16-WB-217B",7,31,6,,
4022071.40,712583.05,"16-WB-218A",13,31,1,,
4022071.40,712583.05,"16-WB-218B",13,31,4,5,
4022071.40,712583.05,"16-WB-218C",13,31,4,5,
4022071.40,712583.05,"16-WB-218D",13,21,,,
4021981.56,712418.69,"16-WB-220A",7,21,,,
4021981.56,712418.69,"16-WB-220B",7,21,,,
4026891.08,718209.62,"16-WB-307",3,21,,,
4026909.93,718230.70,"16-WB-310",12,31,1,,
4026884.43,718240.95,"16-WB-311A",3,21,,,
4022176.86,712896.41,"16-WB-208",7,31,1,,
4024711.00,717965.00,"16-WB-300",14,26,,,
4117930.00,675413.00,"16-ML-1",11,17,,,
4117930.00,675413.00,"16-ML-2",11,17,,,
4117930.00,675413.00,"16-ML-3",11,17,,,
4120864.00,670269.00,"14-LP-198",,31,6,,
4120864.00,670269.00,"14-LP-199",,31,6,,
4120864.00,670269.00,"14-LP-200",,31,6,,
4025138.30,717864.04,"14-WB-200",4,21,,,
4025138.30,717864.04,"14-WB-201",4,21,,,
4025138.30,717864.04,"14-WB-202",4,21,,,
4025138.30,717864.04,"14-WB-203",4,21,,,
4025126.68,717866.08,"14-WB-204",4,31,1,,
4025120.67,717869.85,"14-WB-205",4,21,,,
4025120.67,717869.85,"14-WB-206",4,21,,,
4024726.08,717910.84,"14-LW-101",15,31,1,,
4024726.08,717910.84,"14-LW-101A",15,31,1,,
