"keyPhotoID","OutcropPhoto","Photomicrograph","CLImage","OtherImage","TSOverview","OtherDocument","WayptIDKey","MacrostructureID","SampleIDKey","TSDescID","PhotoLinkRelative2"
1616,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__002_PM4x.jpg"
1617,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__003_PM10x.jpg"
1618,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__004_10x.jpg"
1619,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__005_PM20x.jpg"
1620,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__006_PM20x.jpg"
1621,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__007_PM4x.jpg"
1622,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__010_PM10x.jpg"
1623,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__012_-PM40x.jpg"
1624,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__013_PM4x.jpg"
1625,0,1,0,0,0,0,0,0,114,124,"\Photos\USTProject\Summer2018\16-WB-205\16-WB-205B-__015_PM4x.jpg"
1626,0,0,0,0,0,0,0,0,128,150,"\Photos\USTProject\Summer2018\16-wb-305b2\16-WB-305B-PM-4X-1.jpg"
1627,0,0,0,0,0,0,0,0,128,150,"\Photos\USTProject\Summer2018\16-wb-305b2\16-WB-305B-PM-4X-2.jpg"
1628,0,0,0,0,0,0,0,0,128,150,"\Photos\USTProject\Summer2018\16-wb-305b2\16-WB-305B-PM-4X-3.jpg"
1629,0,0,0,0,0,0,0,0,128,150,"\Photos\USTProject\Summer2018\16-wb-305b2\16-WB-305B-PM-10X-4.jpg"
1630,0,0,0,0,0,0,0,0,128,150,"\Photos\USTProject\Summer2018\16-wb-305b2\16-WB-305B-PM-10X-5.jpg"
1641,0,0,0,0,0,0,0,0,0,187,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_4x_1mm 2.jpg"
1642,0,0,0,0,0,0,0,0,0,187,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_4x_1mm 3.jpg"
1643,0,0,0,0,0,0,0,0,0,187,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_4x_1mm 4.jpg"
1644,0,0,0,0,0,0,0,0,0,187,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_4x_1mm.jpg"
1645,0,0,0,0,0,0,0,0,0,187,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_20x_0_1mm 2.jpg"
1646,0,0,0,0,0,0,0,0,0,187,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_20x_0_1mm 3.jpg"
1647,0,0,0,0,0,0,0,0,0,187,"\Photos\USTProject\Summer2018\17-WB-2A\17_WB_2A_20x_0_1mm.jpg"
